напляжение фаза 1, В	-1.300000
напляжение фаза 2, В	1.000000
количество точек фаза 1	200
количество точек фаза 2	200
длительность импульсов, us	10000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	17

номер точки	напряжение, В 	ток, А
644	0.424188	0.000031
645	0.434591	0.000032
646	0.443947	0.000033
647	0.454269	0.000033
648	0.464108	0.000033
649	0.474108	0.000035
650	0.484188	0.000037
651	0.494188	0.000038
652	0.503544	0.000040
653	0.513866	0.000040
654	0.523705	0.000040
655	0.532900	0.000049
656	0.542014	0.000065
657	0.553705	0.000042
658	0.563061	0.000049
659	0.573383	0.000047
660	0.583624	0.000047
661	0.592658	0.000051
662	0.603866	0.000044
663	0.610967	0.000072
664	0.621128	0.000065
665	0.631048	0.000071
666	0.640242	0.000072
667	0.651209	0.000073
668	0.660806	0.000079
669	0.667424	0.000116
670	0.674525	0.000142
671	0.684364	0.000140
672	0.687439	0.000200
673	0.701063	0.000167
674	0.696488	0.000267
675	0.698194	0.000306
676	0.707389	0.000307
677	0.712557	0.000329
678	0.719578	0.000343
679	0.724183	0.000355
680	0.727499	0.000369
681	0.735889	0.000374
682	0.732361	0.000394
683	0.732054	0.000407
684	0.737786	0.000409
685	0.741908	0.000412
686	0.747479	0.000416
687	0.748621	0.000418
688	0.750730	0.000419
689	0.758878	0.000421
690	0.758651	0.000422
691	0.753029	0.000423
692	0.756346	0.000423
693	0.758213	0.000423
694	0.761046	0.000424
695	0.769114	0.000424
696	0.772350	0.000424
697	0.772767	0.000424
698	0.770608	0.000424
699	0.775616	0.000424
700	0.776597	0.000424
701	0.777498	0.000424
702	0.771363	0.000424
703	0.770623	0.000424
704	0.764730	0.000424
705	0.762702	0.000424
706	0.761479	0.000424
707	0.760417	0.000424
708	0.755973	0.000424
709	0.754750	0.000424
710	0.755782	0.000423
711	0.748037	0.000423
712	0.747941	0.000423
713	0.742612	0.000422
714	0.737765	0.000422
715	0.735093	0.000421
716	0.730569	0.000420
717	0.730473	0.000418
718	0.727157	0.000415
719	0.720539	0.000413
720	0.715370	0.000410
