напляжение фаза 1, В	-1.400000
напляжение фаза 2, В	1.100000
количество точек фаза 1	100
количество точек фаза 2	100
длительность импульсов, us	25000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	18

номер точки	напряжение, В 	ток, А
305	0.085248	-0.000003
306	0.107329	-0.000003
307	0.129167	-0.000002
308	0.151087	-0.000002
309	0.173167	-0.000002
310	0.195087	-0.000002
311	0.217248	-0.000001
312	0.239167	-0.000001
313	0.261087	-0.000001
314	0.282926	-0.000001
315	0.305006	-0.000001
316	0.327006	-0.000000
317	0.349087	0.000000
318	0.370684	0.000002
319	0.393087	-0.000001
320	0.414926	-0.000001
321	0.436765	0.000001
322	0.458765	0.000002
323	0.480684	0.000002
324	0.502926	0.000003
325	0.524604	0.000003
326	0.546443	0.000006
327	0.568765	0.000003
328	0.590604	0.000005
329	0.612765	0.000004
330	0.634201	0.000009
331	0.656604	0.000005
332	0.678201	0.000007
333	0.700201	0.000008
334	0.722443	0.000009
335	0.744040	0.000014
336	0.766121	0.000018
337	0.788040	0.000014
338	0.809718	0.000017
339	0.831799	0.000027
340	0.853718	0.000018
341	0.874591	0.000028
342	0.896591	0.000027
343	0.918671	0.000031
344	0.935598	0.000086
345	0.863466	0.000416
346	0.857524	0.000423
347	0.857299	0.000424
348	0.860698	0.000424
349	0.864580	0.000424
350	0.871683	0.000424
351	0.870814	0.000424
352	0.852518	0.000424
353	0.850005	0.000424
354	0.842902	0.000424
355	0.838215	0.000424
356	0.829985	0.000424
357	0.825539	0.000423
358	0.818275	0.000422
359	0.808836	0.000419
360	0.798190	0.000417
361	0.784806	0.000412
362	0.770698	0.000405
363	0.755784	0.000398
364	0.740226	0.000390
365	0.723621	0.000381
366	0.706372	0.000372
367	0.689767	0.000361
368	0.670666	0.000352
369	0.653095	0.000341
370	0.633993	0.000331
371	0.614731	0.000320
372	0.595711	0.000310
373	0.576287	0.000298
374	0.555898	0.000288
375	0.536877	0.000277
376	0.517213	0.000266
377	0.496984	0.000256
378	0.476997	0.000243
379	0.456769	0.000234
380	0.435896	0.000222
381	0.415829	0.000211
382	0.395520	0.000201
383	0.374969	0.000190
384	0.354257	0.000178
385	0.333304	0.000168
386	0.312432	0.000157
387	0.291881	0.000149
388	0.271250	0.000135
389	0.250377	0.000123
390	0.229585	0.000114
391	0.208712	0.000103
392	0.187357	0.000090
393	0.166403	0.000081
394	0.145531	0.000070
395	0.124497	0.000059
396	0.103463	0.000048
397	0.082349	0.000037
398	0.061074	0.000026
399	0.039960	0.000015
400	0.018926	0.000005
401	-0.002349	-0.000006
402	-0.029464	-0.000021
403	-0.056497	-0.000033
404	-0.083370	-0.000047
405	-0.110243	-0.000061
406	-0.137437	-0.000075
407	-0.165276	-0.000088
408	-0.191988	-0.000102
409	-0.218619	-0.000118
410	-0.246216	-0.000131
411	-0.272928	-0.000146
412	-0.300284	-0.000160
413	-0.327318	-0.000174
414	-0.354915	-0.000190
415	-0.382029	-0.000204
416	-0.409063	-0.000219
417	-0.436419	-0.000235
418	-0.463613	-0.000249
419	-0.490889	-0.000266
420	-0.518325	-0.000281
