напляжение фаза 1, В	-1.300000
напляжение фаза 2, В	1.200000
количество точек фаза 1	50
количество точек фаза 2	50
длительность импульсов, us	10000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	9

номер точки	напряжение, В 	ток, А
430	-1.076312	-0.000330
431	-1.026003	-0.000290
432	-0.976660	-0.000246
433	-0.923372	-0.000228
434	-0.874834	-0.000186
435	-0.822915	-0.000176
436	-0.772848	-0.000143
437	-0.721733	-0.000143
438	-0.669814	-0.000129
439	-0.619344	-0.000115
440	-0.567827	-0.000109
441	-0.517437	-0.000080
442	-0.465840	-0.000071
443	-0.414484	-0.000066
444	-0.363048	-0.000055
445	-0.311531	-0.000046
446	-0.260256	-0.000037
447	-0.209061	-0.000029
448	-0.157303	-0.000022
449	-0.105786	-0.000016
450	-0.054269	-0.000010
451	-0.002510	-0.000004
452	0.044765	-0.000000
453	0.092765	0.000004
454	0.140282	0.000008
455	0.187960	0.000014
456	0.235476	0.000019
457	0.282993	0.000024
458	0.330591	0.000033
459	0.377785	0.000041
460	0.424819	0.000052
461	0.470806	0.000071
462	0.518645	0.000078
463	0.566403	0.000090
464	0.614081	0.000082
465	0.660068	0.000108
466	0.703639	0.000166
467	0.601382	0.000424
468	0.620071	0.000424
469	0.561457	0.000423
470	0.568309	0.000423
471	0.567350	0.000423
472	0.547710	0.000422
473	0.555690	0.000422
474	0.552396	0.000422
475	0.552967	0.000421
476	0.551445	0.000421
477	0.549504	0.000421
478	0.545873	0.000421
479	0.547557	0.000422
480	0.542879	0.000422
481	0.538120	0.000423
482	0.537388	0.000423
483	0.537863	0.000423
484	0.531977	0.000424
485	0.533419	0.000424
486	0.523266	0.000424
487	0.516897	0.000423
488	0.505938	0.000419
489	0.487893	0.000405
490	0.459621	0.000381
491	0.424907	0.000353
492	0.387376	0.000320
493	0.347589	0.000284
494	0.306514	0.000246
495	0.263829	0.000209
496	0.220821	0.000174
497	0.177089	0.000137
498	0.132632	0.000100
499	0.088014	0.000064
500	0.043074	0.000029
501	-0.002349	-0.000007
502	-0.051531	-0.000046
503	-0.100471	-0.000088
504	-0.150297	-0.000129
505	-0.199801	-0.000172
506	-0.249304	-0.000218
507	-0.299130	-0.000260
508	-0.348795	-0.000308
509	-0.398943	-0.000355
510	-0.447964	-0.000431
511	-0.497387	-0.000488
512	-0.548179	-0.000525
513	-0.598166	-0.000589
514	-0.651213	-0.000555
515	-0.702971	-0.000557
516	-0.755374	-0.000550
517	-0.806971	-0.000563
518	-0.860018	-0.000542
519	-0.911374	-0.000525
520	-0.966273	-0.000500
521	-1.015374	-0.000513
522	-1.074621	-0.000393
523	-1.125011	-0.000403
524	-1.178379	-0.000386
525	-1.227722	-0.000477
526	-1.277709	-0.000524
527	-1.228125	-0.000417
528	-1.177816	-0.000415
529	-1.126540	-0.000374
530	-1.075748	-0.000328
531	-1.026325	-0.000290
532	-0.975291	-0.000265
533	-0.924741	-0.000244
534	-0.874351	-0.000203
535	-0.823881	-0.000182
536	-0.771720	-0.000169
537	-0.721009	-0.000145
538	-0.670055	-0.000134
539	-0.619666	-0.000114
540	-0.567827	-0.000104
541	-0.516793	-0.000089
542	-0.465598	-0.000078
543	-0.414645	-0.000065
544	-0.363289	-0.000055
545	-0.311773	-0.000046
546	-0.260256	-0.000038
547	-0.208739	-0.000031
548	-0.157222	-0.000023
549	-0.105705	-0.000016
550	-0.054188	-0.000010
551	-0.002671	-0.000005
552	0.044926	0.000001
553	0.092362	0.000006
554	0.140201	0.000012
555	0.187718	0.000017
556	0.235235	0.000026
557	0.282752	0.000029
558	0.329866	0.000037
559	0.376739	0.000042
560	0.424980	0.000049
561	0.471289	0.000067
562	0.515505	0.000108
563	0.563021	0.000114
564	0.608928	0.000134
565	0.659344	0.000115
566	0.705411	0.000125
567	0.595906	0.000424
568	0.570710	0.000424
569	0.561699	0.000424
570	0.556633	0.000423
571	0.558976	0.000423
572	0.545697	0.000422
573	0.568010	0.000422
574	0.573252	0.000422
575	0.570119	0.000421
576	0.574475	0.000421
577	0.577527	0.000421
578	0.575104	0.000422
579	0.577029	0.000422
580	0.585396	0.000423
581	0.575806	0.000423
582	0.569517	0.000423
583	0.572891	0.000424
584	0.573367	0.000424
585	0.565709	0.000424
586	0.566104	0.000423
587	0.549509	0.000420
588	0.530336	0.000409
589	0.500776	0.000392
590	0.466707	0.000366
591	0.431027	0.000332
592	0.392690	0.000298
593	0.350568	0.000266
594	0.308849	0.000231
595	0.265681	0.000198
596	0.222190	0.000162
597	0.177653	0.000129
598	0.133437	0.000094
599	0.088497	0.000061
600	0.043315	0.000027
601	-0.002349	-0.000007
602	-0.051531	-0.000041
603	-0.101115	-0.000080
604	-0.150619	-0.000118
605	-0.200364	-0.000161
606	-0.250190	-0.000203
607	-0.299613	-0.000247
608	-0.349600	-0.000289
609	-0.399346	-0.000342
610	-0.449011	-0.000400
611	-0.499964	-0.000423
612	-0.549629	-0.000488
613	-0.600340	-0.000512
614	-0.650246	-0.000570
615	-0.701763	-0.000605
616	-0.752878	-0.000627
617	-0.806649	-0.000569
618	-0.856153	-0.000673
619	-0.909119	-0.000607
620	-0.958703	-0.000719
621	-1.018836	-0.000480
622	-1.071078	-0.000474
623	-1.124125	-0.000433
624	-1.177896	-0.000388
625	-1.228366	-0.000479
626	-1.277226	-0.000540
627	-1.230299	-0.000389
628	-1.178460	-0.000406
629	-1.128795	-0.000352
630	-1.078003	-0.000290
631	-1.028258	-0.000270
632	-0.977304	-0.000225
633	-0.927398	-0.000187
634	-0.875479	-0.000172
635	-0.821707	-0.000204
636	-0.771559	-0.000180
637	-0.720445	-0.000159
638	-0.668928	-0.000149
639	-0.617733	-0.000135
640	-0.566700	-0.000123
641	-0.515505	-0.000109
642	-0.464149	-0.000100
643	-0.412954	-0.000084
644	-0.361760	-0.000075
645	-0.310726	-0.000061
646	-0.259128	-0.000050
647	-0.207934	-0.000042
648	-0.156578	-0.000030
649	-0.105222	-0.000022
650	-0.053866	-0.000013
651	-0.002671	-0.000004
652	0.044926	0.000003
653	0.092443	0.000010
654	0.139799	0.000017
655	0.186913	0.000026
656	0.234269	0.000036
657	0.281302	0.000048
658	0.325518	0.000094
659	0.373276	0.000089
660	0.417411	0.000128
661	0.465169	0.000127
662	0.509546	0.000165
663	0.552795	0.000202
664	0.594514	0.000244
665	0.571331	0.000414
666	0.523910	0.000424
667	0.534305	0.000424
668	0.565798	0.000424
669	0.561940	0.000423
670	0.564605	0.000423
671	0.570249	0.000423
672	0.579356	0.000422
673	0.571875	0.000422
674	0.570514	0.000422
675	0.563516	0.000421
676	0.552572	0.000421
677	0.551840	0.000421
678	0.562703	0.000422
679	0.555207	0.000422
680	0.551736	0.000422
681	0.541663	0.000423
682	0.546568	0.000423
683	0.544869	0.000423
684	0.537373	0.000424
685	0.537123	0.000424
686	0.529708	0.000424
687	0.520440	0.000423
688	0.514393	0.000417
689	0.491677	0.000402
690	0.459218	0.000379
691	0.425310	0.000351
692	0.388020	0.000317
693	0.347831	0.000280
694	0.306917	0.000245
695	0.264312	0.000208
696	0.221143	0.000170
697	0.177250	0.000135
698	0.132712	0.000100
699	0.087772	0.000066
700	0.043074	0.000029
701	-0.002108	-0.000007
702	-0.051451	-0.000047
703	-0.100713	-0.000087
704	-0.149975	-0.000128
705	-0.200042	-0.000174
706	-0.249304	-0.000216
707	-0.298647	-0.000263
708	-0.348393	-0.000317
709	-0.398863	-0.000355
710	-0.448286	-0.000416
711	-0.498836	-0.000453
712	-0.548582	-0.000514
713	-0.599696	-0.000538
714	-0.652904	-0.000517
715	-0.703615	-0.000543
716	-0.755696	-0.000552
717	-0.808018	-0.000537
718	-0.859374	-0.000572
719	-0.914836	-0.000472
720	-0.965629	-0.000486
721	-1.019078	-0.000436
722	-1.075507	-0.000334
723	-1.126057	-0.000417
724	-1.174756	-0.000470
725	-1.227642	-0.000428
726	-1.276260	-0.000617
727	-1.229172	-0.000375
728	-1.179829	-0.000344
729	-1.129600	-0.000321
730	-1.079211	-0.000276
731	-1.028902	-0.000250
732	-0.978110	-0.000206
733	-0.925868	-0.000204
734	-0.875962	-0.000169
735	-0.825170	-0.000151
736	-0.774055	-0.000128
737	-0.722700	-0.000133
738	-0.671666	-0.000110
739	-0.620874	-0.000093
740	-0.569035	-0.000083
741	-0.518001	-0.000076
742	-0.466565	-0.000065
743	-0.415048	-0.000056
744	-0.363370	-0.000048
745	-0.311853	-0.000041
746	-0.260417	-0.000035
747	-0.209061	-0.000028
748	-0.157303	-0.000022
749	-0.105705	-0.000016
750	-0.054430	-0.000010
751	-0.002752	-0.000005
752	0.044926	0.000000
753	0.092443	0.000006
754	0.140282	0.000011
755	0.187879	0.000016
756	0.235718	0.000019
757	0.283074	0.000022
758	0.330993	0.000027
759	0.378269	0.000037
760	0.426108	0.000036
761	0.472497	0.000057
762	0.518887	0.000059
763	0.568417	0.000058
764	0.613759	0.000094
765	0.652338	0.000184
766	0.666115	0.000347
767	0.585921	0.000424
768	0.588666	0.000424
769	0.597049	0.000424
770	0.600599	0.000423
771	0.610028	0.000423
772	0.615834	0.000423
773	0.597079	0.000422
774	0.616413	0.000422
775	0.594356	0.000421
776	0.597907	0.000421
777	0.604341	0.000421
778	0.601435	0.000422
779	0.596113	0.000422
780	0.596105	0.000423
781	0.595775	0.000423
782	0.596251	0.000423
783	0.592781	0.000424
784	0.590035	0.000424
785	0.597758	0.000424
786	0.579552	0.000422
787	0.561265	0.000417
788	0.537342	0.000404
789	0.507379	0.000384
790	0.470411	0.000358
791	0.432477	0.000328
792	0.393254	0.000293
793	0.351615	0.000263
794	0.309252	0.000229
795	0.265922	0.000194
796	0.222190	0.000160
797	0.177653	0.000126
798	0.133357	0.000095
799	0.088497	0.000061
800	0.043235	0.000027
801	-0.002349	-0.000006
802	-0.051773	-0.000043
803	-0.101115	-0.000081
804	-0.150700	-0.000121
805	-0.200364	-0.000162
806	-0.250029	-0.000201
807	-0.299533	-0.000244
808	-0.350003	-0.000286
809	-0.399909	-0.000323
810	-0.449333	-0.000384
811	-0.499642	-0.000434
812	-0.549387	-0.000497
813	-0.600179	-0.000525
814	-0.650246	-0.000582
815	-0.701119	-0.000618
816	-0.752475	-0.000637
817	-0.804958	-0.000626
818	-0.858569	-0.000579
819	-0.907026	-0.000701
820	-0.966997	-0.000523
821	-1.019964	-0.000438
822	-1.076312	-0.000371
823	-1.127104	-0.000341
824	-1.178540	-0.000364
825	-1.230460	-0.000385
826	-1.280125	-0.000460
827	-1.229494	-0.000390
828	-1.179426	-0.000359
829	-1.128876	-0.000318
830	-1.078486	-0.000263
831	-1.029627	-0.000228
832	-0.979318	-0.000200
833	-0.927881	-0.000186
834	-0.877009	-0.000167
835	-0.824686	-0.000163
836	-0.773572	-0.000140
837	-0.723183	-0.000117
838	-0.672230	-0.000103
839	-0.620552	-0.000091
840	-0.569115	-0.000081
841	-0.517598	-0.000074
842	-0.466243	-0.000064
843	-0.415048	-0.000056
844	-0.363773	-0.000048
845	-0.311773	-0.000042
846	-0.260336	-0.000035
847	-0.209061	-0.000027
848	-0.157464	-0.000021
849	-0.105705	-0.000015
850	-0.054349	-0.000010
851	-0.002671	-0.000005
852	0.045087	0.000000
853	0.092604	0.000005
854	0.140362	0.000010
855	0.187879	0.000015
856	0.235396	0.000019
857	0.283235	0.000022
858	0.331396	0.000022
859	0.378349	0.000031
860	0.426510	0.000033
861	0.474108	0.000037
862	0.521624	0.000042
863	0.568900	0.000054
864	0.615450	0.000070
865	0.650969	0.000183
866	0.572707	0.000423
867	0.568447	0.000424
868	0.580292	0.000424
869	0.570878	0.000424
870	0.574509	0.000423
871	0.573068	0.000423
872	0.573639	0.000423
873	0.575096	0.000422
874	0.562059	0.000422
875	0.575272	0.000421
876	0.558611	0.000421
877	0.541694	0.000421
878	0.521716	0.000421
879	0.526459	0.000422
880	0.518480	0.000422
881	0.515573	0.000422
882	0.513231	0.000423
883	0.512176	0.000423
884	0.511524	0.000424
885	0.512402	0.000424
886	0.511751	0.000424
887	0.503610	0.000424
888	0.493617	0.000420
889	0.473237	0.000413
890	0.449475	0.000394
891	0.420237	0.000362
892	0.383269	0.000332
893	0.344287	0.000296
894	0.304179	0.000260
895	0.262299	0.000221
896	0.219935	0.000183
897	0.176042	0.000145
898	0.132149	0.000106
899	0.087692	0.000069
900	0.043074	0.000030
